id,Arabic,Hindi,Urdu,Other_Indic_languages,Speak_only_English,Spanish_or_Spanish_Creole,French_Patois_Cajun,French_Creole,Italian,Portuguese_or_Portuguese_Creole,German,Yiddish,Other_West_Germanic_languages,Scandinavian_languages,Greek,Russian,Polish,Serbo_Croatian,Other_Slavic_languages,Armenian,Persian,Gujarati,Other_Indo_European_languages,Chinese,Japanese,Korean,Mon_Khmer_Cambodian,Hmong,Thai,Laotian,Vietnamese,Other_Asian_languages,Tagalog,Other_Pacific_Island_languages,Navajo,Other_Native_North_American_languages,Hungarian,Hebrew,African_languages,Other_and_unspecified_languages
1400000US36047012700,71,0,0,0,2053,1000,3,90,24,0,0,0,0,0,0,0,0,0,0,0,0,0,15,165,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
1400000US36047012801,146,0,0,11,420,217,0,7,0,0,0,0,0,0,20,22,49,0,0,0,11,0,0,904,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0
1400000US36047012901,59,0,0,0,1462,894,6,18,18,38,0,0,0,0,0,9,0,0,0,0,10,0,0,12,0,9,0,0,0,0,0,36,0,0,0,0,0,0,0,0
1400000US36047012902,85,12,0,0,1347,250,30,4,20,0,13,0,0,29,12,0,0,0,5,0,5,0,0,0,39,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
1400000US36047013000,802,0,0,0,1893,693,0,0,60,17,0,19,0,8,11,58,94,0,0,0,0,0,38,524,12,183,0,0,0,0,9,0,129,0,0,0,0,0,23,0
1400000US36047013100,0,0,0,0,2760,841,39,1,17,0,37,6,0,0,0,71,0,0,0,0,0,11,0,10,12,0,0,0,0,0,26,39,0,0,0,0,11,0,0,0
1400000US36047013200,83,0,125,8,584,131,13,0,4,0,22,0,0,3,165,10,10,0,0,0,0,0,26,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047013300,44,0,0,0,3177,340,53,0,4,12,18,8,7,0,56,10,6,0,15,0,8,19,35,207,0,14,0,0,0,0,0,9,0,0,0,0,0,0,0,0
1400000US36047013400,551,9,47,0,1647,480,0,0,107,20,16,0,6,9,175,77,7,0,0,0,0,0,3,418,12,0,0,0,0,0,0,8,20,0,0,0,0,1,0,69
1400000US36047013500,0,7,0,0,2605,306,140,15,22,60,20,0,0,0,28,8,8,0,0,11,8,0,0,74,25,0,0,0,0,0,0,0,0,0,0,0,33,54,0,0
